Label,sw,filesin,prodin,siteparamin,soilsin,weathersetupin,cloudin,YearStart,YearEnd,LookupWeatherFolder,LookupClimateTempScenarios,LookupClimatePPTScenarios,LookupShiftedPPTScenarios,LookupShiftedPPTCategory,LookupSnowDensityFromTable,LookupTranspRegionsFromTable,LookupEvapCoeffFromTable,LookupTranspCoeffFromTable_Grass,LookupTranspCoeffFromTable_Shrub,LookupTranspCoeffFromTable_Tree,PotentialNaturalVegetation_CompositionShrubsC3C4_Paruelo1996,PotentialNaturalVegetation_CompositionShrubs_Fraction,PotentialNaturalVegetation_CompositionC3_Fraction,PotentialNaturalVegetation_CompositionC4_Fraction,PotentialNaturalVegetation_CompositionAnnuals_Fraction,AdjMonthlyBioMass_Precipitation,AdjMonthlyBioMass_Temperature,AdjRootProfile,RootProfile_C3,RootProfile_C4,RootProfile_Annuals,RootProfile_Shrubs,Shrub_TotalBiomass_ScalingFactor,Shrub_LiveBiomass_ScalingFactor,Shrub_Litter_ScalingFactor,Grass_TotalBiomass_ScalingFactor,Grass_LiveBiomass_ScalingFactor,Grass_Litter_ScalingFactor,Tree_TotalBiomass_ScalingFactor,Tree_LiveBiomass_ScalingFactor,Tree_Litter_ScalingFactor,Vegetation_Biomass_ScalingSeason_AllGrowingORNongrowing,Vegetation_Height_ScalingFactor,PotentialNaturalVegetation_Composition_basedOnReferenceOrScenarioClimate,ClimateScenario_Temp_PerturbationInMeanSeasonalityBothOrNone,ClimateScenario_PPT_PerturbationInMeanSeasonalityBothOrNone,Exclude_ClimateAmbient
MS1_sbs_0079_5257,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0080_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0081_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0082_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0083_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0084_5257,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0085_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0086_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0087_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0088_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0089_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0090_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0091_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0092_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0093_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0094_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0095_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0096_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0097_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0098_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0099_5257,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0100_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0101_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0102_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0103_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0104_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS1_sbs_0105_5454,,,,,,,,,,,,,,,Prairie,CONUSSOIL_with50and90cm_BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
