Category1,Current_m1,Current_m2,Current_m3,Current_m4,Current_m5,Current_m6,Current_m7,Current_m8,Current_m9,Current_m10,Current_m11,Current_m12,ShiftedWinter_m1,ShiftedWinter_m2,ShiftedWinter_m3,ShiftedWinter_m4,ShiftedWinter_m5,ShiftedWinter_m6,ShiftedWinter_m7,ShiftedWinter_m8,ShiftedWinter_m9,ShiftedWinter_m10,ShiftedWinter_m11,ShiftedWinter_m12,ShiftedSummer_m1,ShiftedSummer_m2,ShiftedSummer_m3,ShiftedSummer_m4,ShiftedSummer_m5,ShiftedSummer_m6,ShiftedSummer_m7,ShiftedSummer_m8,ShiftedSummer_m9,ShiftedSummer_m10,ShiftedSummer_m11,ShiftedSummer_m12
MS1_bs_1288_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.213,1.213,1.213,0.7,0.7,0.7,0.7,0.7,0.7,1.213,1.213,1.213,0.787,0.787,0.787,1.3,1.3,1.3,1.3,1.3,1.3,0.787,0.787,0.787
MS1_bs_1316_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.256,1.256,1.256,0.7,0.7,0.7,0.7,0.7,0.7,1.256,1.256,1.256,0.744,0.744,0.744,1.3,1.3,1.3,1.3,1.3,1.3,0.744,0.744,0.744
MS1_bs_1317_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.218,1.218,1.218,0.7,0.7,0.7,0.7,0.7,0.7,1.218,1.218,1.218,0.782,0.782,0.782,1.3,1.3,1.3,1.3,1.3,1.3,0.782,0.782,0.782
MS1_bs_1352_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.341,1.341,1.341,0.7,0.7,0.7,0.7,0.7,0.7,1.341,1.341,1.341,0.659,0.659,0.659,1.3,1.3,1.3,1.3,1.3,1.3,0.659,0.659,0.659
MS1_bs_1363_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.197,1.197,1.197,0.7,0.7,0.7,0.7,0.7,0.7,1.197,1.197,1.197,0.803,0.803,0.803,1.3,1.3,1.3,1.3,1.3,1.3,0.803,0.803,0.803
MS1_bs_1365_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.259,1.259,1.259,0.7,0.7,0.7,0.7,0.7,0.7,1.259,1.259,1.259,0.741,0.741,0.741,1.3,1.3,1.3,1.3,1.3,1.3,0.741,0.741,0.741
MS1_bs_1370_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.505,1.505,1.505,0.7,0.7,0.7,0.7,0.7,0.7,1.505,1.505,1.505,0.495,0.495,0.495,1.3,1.3,1.3,1.3,1.3,1.3,0.495,0.495,0.495
MS1_bs_1393_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.342,1.342,1.342,0.7,0.7,0.7,0.7,0.7,0.7,1.342,1.342,1.342,0.658,0.658,0.658,1.3,1.3,1.3,1.3,1.3,1.3,0.658,0.658,0.658
MS1_bs_1409_05454,1,1,1,1,1,1,1,1,1,1,1,1,1.282,1.282,1.282,0.7,0.7,0.7,0.7,0.7,0.7,1.282,1.282,1.282,0.718,0.718,0.718,1.3,1.3,1.3,1.3,1.3,1.3,0.718,0.718,0.718
MS1_bs_1450_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.268,1.268,1.268,0.7,0.7,0.7,0.7,0.7,0.7,1.268,1.268,1.268,0.732,0.732,0.732,1.3,1.3,1.3,1.3,1.3,1.3,0.732,0.732,0.732
