,Soil layer,Soil depth cm,Pinuscontorta_10yrsSeedling,BigSagebrushEcosystem_cm,Shortgrass_JBB_cm,Shortgrass3,ShortgrassSteppe_MeanOf_Liang1989Singh1998_cm,ShortgrassSteppe_MeanOf_Liang1989Singh1998_WeightedByShrub_cm,FILL,C3_John,C4_John,Annuals_John,SchenkJackson2003_PCdry_shrubs,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_forbs
LayerORDepthCM,Layer,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM
Source,,,"Nadeau LB, Pluth DJ (1997) Spatial distribution of lodgepole pine and white spruce seedling roots 10 years after deep tillage of a Gray Luvisol. Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere, 27, 1606-1613.",,"Bradford JB, Lauenroth WK (2006) Controls over invasion of Bromus tectorum: the importance of climate, soil, disturbance and seed availability. Journal of Vegetation Science, 17, 693-704.",Dave Smith Thesis (2003),,,,,,,,,,
,,66,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.005113972,0.003384983,0.002938223,0.005113972
,,67,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.004998368,0.003264753,0.002823633,0.004998368
,,68,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.004885379,0.003148794,0.002713511,0.004885379
,,69,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.004774943,0.003036953,0.002607684,0.004774943
,,70,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.004667003,0.002929085,0.002505984,0.004667003
,,71,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.004561504,0.002825048,0.002408251,0.004561504
,,72,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.00445839,0.002724706,0.002314329,0.00445839
,,73,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.004357606,0.002627928,0.00222407,0.004357606
,,74,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.004259101,0.002534588,0.002137332,0.004259101
,,75,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.004162822,0.002444563,0.002053976,0.004162822
,,76,0.002666061,0.00504449,,0.001333333,0.002319047,0.001831562,0.005,0.005,0.001238582,0.005,0.00406872,0.002357735,0.001973871,0.00406872
,,77,0.002666061,0.00504449,,0.001333333,0.002319047,0.001831562,0.005,0.005,0.001238582,0.005,0.003976745,0.002273992,0.00189689,0.003976745
,,78,0.002666061,0.00504449,,0.001333333,0.002319047,0.001831562,0.005,0.005,0.001238582,0.005,0.003886849,0.002193223,0.001822911,0.003886849
,,79,0.002666061,0.00504449,,0.001333333,0.002319047,0.001831562,0.005,0.005,0.001238582,0.005,0.003798986,0.002115323,0.001751817,0.003798986
,,80,0.002666061,0.00504449,,0.001333333,0.002319047,0.001831562,0.005,0.005,0.001238582,0.005,0.003713108,0.002040189,0.001683497,0.003713108
,,81,0.002666061,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003629172,0.001967725,0.00161784,0.003629172
,,82,0.002666061,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003547133,0.001897834,0.001554744,0.003547133
,,83,0.002666061,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003466949,0.001830426,0.001494109,0.003466949
,,84,0.002666061,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003388578,0.001765411,0.001435839,0.003388578
,,85,0.002666061,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003311977,0.001702706,0.001379841,0.003311977
,,86,0.002666061,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003237109,0.001642229,0.001326028,0.003237109
,,87,0.002666061,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003163933,0.001583899,0.001274313,0.003163933
,,88,0.002666061,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003092411,0.001527641,0.001224614,0.003092411
,,89,,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003022506,0.001473381,0.001176854,0.003022506
,,90,,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.002954181,0.001421049,0.001130957,0.002954181
,,91,,0.000871862,,,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.002887401,0.001370575,0.00108685,0.002887401
,,92,,0.000871862,,,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.00282213,0.001321894,0.001044463,0.00282213
,,93,,0.000871862,,,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.002758335,0.001274943,0.001003729,0.002758335
,,94,,0.000871862,,,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.002695982,0.001229658,0.000964583,0.002695982
,,95,,0.000871862,,,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.002635038,0.001185983,0.000926964,0.002635038
,,96,,0.000871862,,,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.002575472,0.001143858,0.000890813,0.002575472
,,97,,0.000871862,,,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.002517253,0.00110323,0.000856071,0.002517253
,,98,,0.000871862,,,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.002460349,0.001064045,0.000822684,0.002460349
,,99,,0.000871862,,,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.002404732,0.001026251,0.0007906,0.002404732
,,100,,0.000871862,,,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.002350372,0.0009898,0.000759766,0.002350372
,,101,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.002297241,0.000954644,0.000730135,0.002297241
,,102,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.002245311,0.000920736,0.00070166,0.002245311
,,103,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.002194555,0.000888033,0.000674295,0.002194555
,,104,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.002144946,0.000856491,0.000647998,0.002144946
