,Soil layer,Soil depth cm,Pinuscontorta_10yrsSeedling,BigSagebrushEcosystem_cm,Shortgrass_JBB_cm,Shortgrass3,ShortgrassSteppe_MeanOf_Liang1989Singh1998_cm,ShortgrassSteppe_MeanOf_Liang1989Singh1998_WeightedByShrub_cm,FILL,C3_John,C4_John,Annuals_John,SchenkJackson2003_PCdry_shrubs,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,Shrub_MaxRoot010,C3_MaxRoot010,C4_MaxRoot010,Shrub_MaxRoot025,C3_MaxRoot025,C4_MaxRoot025,Shrub_MaxRoot050,C3_MaxRoot050,C4_MaxRoot050,Shrub_MaxRoot100,C3_MaxRoot100,C4_MaxRoot100,Shrub_MaxRoot200,C3_MaxRoot200,C4_MaxRoot200
LayerORDepthCM,Layer,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM
Source,,,"Nadeau LB, Pluth DJ (1997) Spatial distribution of lodgepole pine and white spruce seedling roots 10 years after deep tillage of a Gray Luvisol. Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere, 27, 1606-1613.",,"Bradford JB, Lauenroth WK (2006) Controls over invasion of Bromus tectorum: the importance of climate, soil, disturbance and seed availability. Journal of Vegetation Science, 17, 693-704.",Dave Smith Thesis (2003),,,,,,,,,,MaxRoot010,,,MaxRoot025,,,MaxRoot050,,,MaxRoot100,,,MaxRoot200,,
,,50,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.007372913,0.006037468,0.005552782,0,0,0,0,0,0,0.005117769,0.00495089,-3.46622E-05,0.008352739,0.008052002,0.004577522,0.007407275,0.008052002,0.004577522
,,51,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.007206246,0.005823025,0.005336223,0,0,0,0,0,0,0,0,0,0.007402796,0.007071503,0.003535283,0.006973357,0.007071503,0.003535283
,,52,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.007043346,0.005616199,0.005128111,0,0,0,0,0,0,0,0,0,0.007402796,0.007071503,0.003535283,0.006973357,0.007071503,0.003535283
,,53,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.006884128,0.00541672,0.004928114,0,0,0,0,0,0,0,0,0,0.007402796,0.007071503,0.003535283,0.006973357,0.007071503,0.003535283
,,54,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.00672851,0.005224326,0.004735918,0,0,0,0,0,0,0,0,0,0.007402796,0.007071503,0.003535283,0.006973357,0.007071503,0.003535283
,,55,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.00657641,0.005038765,0.004551217,0,0,0,0,0,0,0,0,0,0.007402796,0.007071503,0.003535283,0.006973357,0.007071503,0.003535283
,,56,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.006427748,0.004859795,0.00437372,0,0,0,0,0,0,0,0,0,0.006560889,0.006210399,0.002730347,0.006564858,0.006210399,0.002730347
,,57,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.006282446,0.004687182,0.004203145,0,0,0,0,0,0,0,0,0,0.006560889,0.006210399,0.002730347,0.006564858,0.006210399,0.002730347
,,58,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.006140429,0.0045207,0.004039222,0,0,0,0,0,0,0,0,0,0.006560889,0.006210399,0.002730347,0.006564858,0.006210399,0.002730347
,,59,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.006001622,0.004360131,0.003881692,0,0,0,0,0,0,0,0,0,0.006560889,0.006210399,0.002730347,0.006564858,0.006210399,0.002730347
,,60,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.005865954,0.004205265,0.003730306,0,0,0,0,0,0,0,0,0,0.006560889,0.006210399,0.002730347,0.006564858,0.006210399,0.002730347
,,61,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.005733351,0.0040559,0.003584824,0,0,0,0,0,0,0,0,0,0.00581473,0.005454153,0.002108685,0.006180289,0.005454153,0.002108685
,,62,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.005603747,0.00391184,0.003445016,0,0,0,0,0,0,0,0,0,0.00581473,0.005454153,0.002108685,0.006180289,0.005454153,0.002108685
,,63,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.005477072,0.003772897,0.003310661,0,0,0,0,0,0,0,0,0,0.00581473,0.005454153,0.002108685,0.006180289,0.005454153,0.002108685
,,64,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.005353261,0.003638889,0.003181545,0,0,0,0,0,0,0,0,0,0.00581473,0.005454153,0.002108685,0.006180289,0.005454153,0.002108685
,,65,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.005232249,0.003509641,0.003057465,0,0,0,0,0,0,0,0,0,0.00581473,0.005454153,0.002108685,0.006180289,0.005454153,0.002108685
,,66,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.005113972,0.003384983,0.002938223,0,0,0,0,0,0,0,0,0,0.00515343,0.004789996,0.001628566,0.005818248,0.004789996,0.001628566
,,67,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.004998368,0.003264753,0.002823633,0,0,0,0,0,0,0,0,0,0.00515343,0.004789996,0.001628566,0.005818248,0.004789996,0.001628566
,,68,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.004885379,0.003148794,0.002713511,0,0,0,0,0,0,0,0,0,0.00515343,0.004789996,0.001628566,0.005818248,0.004789996,0.001628566
,,69,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.004774943,0.003036953,0.002607684,0,0,0,0,0,0,0,0,0,0.00515343,0.004789996,0.001628566,0.005818248,0.004789996,0.001628566
,,70,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.004667003,0.002929085,0.002505984,0,0,0,0,0,0,0,0,0,0.00515343,0.004789996,0.001628566,0.005818248,0.004789996,0.001628566
,,71,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.004561504,0.002825048,0.002408251,0,0,0,0,0,0,0,0,0,0.004567339,0.004206714,0.001257764,0.005477415,0.004206714,0.001257764
,,72,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.00445839,0.002724706,0.002314329,0,0,0,0,0,0,0,0,0,0.004567339,0.004206714,0.001257764,0.005477415,0.004206714,0.001257764
,,73,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.004357606,0.002627928,0.00222407,0,0,0,0,0,0,0,0,0,0.004567339,0.004206714,0.001257764,0.005477415,0.004206714,0.001257764
